Company Name,Street Address,Street Address (2),City,State,Zip Code,County,Latitude,Longitude,Contact Name,Phone Number,Email,Hauler Type,Preferred Vendor,Market Type
SR5 CARTING & HAULING LLC,185 SNOWDROP PL,,Freehold,NJ,7728,Monmouth County,40.2443666,-74.31526099999999,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
KRP JUNK AND MOVE LLC,20 FOUNTAYNE LN,,Manalapan Twp,NJ,7726,Monmouth County,40.24088769999999,-74.3257342,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
ATLAS SEPTIC INC,243 THROCKMORTON ST,,Freehold Boro,NJ,7728,Monmouth County,40.266081,-74.2899046,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
BIG RED JUNK REMOVAL LLC,6 CAMBRIDGE RD,,Freehold Twp,NJ,7728,Monmouth County,40.2273083,-74.2922727,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
USA GENERAL CONTRACTORS CORP,167 RT 33,,Manalapan,NJ,7726,Monmouth County,40.2529018,-74.3474511,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
USA GENERAL CONTRACTORS CORP,167 RT 33,,Manalapan,NJ,7726,Monmouth County,40.2529018,-74.3474511,,,,Soil & Fill Recycling Services,No,Open Market
BAILEYS SQUARE JANITORIAL,11 MARCY ST,,Freehold,NJ,7728,Monmouth County,40.2572882,-74.2726177,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
SANITARY PUMPING SERVICES LLC,1720 GINESI DR,,Freehold,NJ,7728,Monmouth County,40.2584587,-74.26090909999999,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
F RAMCO INC/ERROL LAWN,45 JACKSON MILLS RD,,Freehold Twp,NJ,7728,Monmouth County,40.218598,-74.2710499,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
SIGISMONDI GREENHOUSES III LLC,104 MILLHURST RD,,Manalapan,NJ,7726,Monmouth County,40.2818568,-74.3473514,,,,Soil & Fill Recycling Services,No,Open Market
FREEHOLD CARTAGE INC,825 RT 33,,Freehold Twp,NJ,7728,Monmouth County,40.2511265,-74.25094580000001,,,,Hazardous Waste Transporter,No,Open Market
FREEHOLD CARTAGE INC,823 825 RT 33,,Freehold Twp,NJ,7728,Monmouth County,40.2511265,-74.25094580000001,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
SCHITO WASTE & RECYCLING INC,25 COURTNEY CT,,Freehold Twp,NJ,7728,Monmouth County,40.2128149,-74.2467415,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
VASPRO LLC,306 MONMOUTH RD,,Millstone,NJ,8510,Monmouth County,40.202723,-74.36505900000002,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
A + A TRUCK PARTS INC,80 HENDRICKSON RD,,Freehold Twp,NJ,7728,Monmouth County,40.19668679999999,-74.3554482,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
TAKE IT AWAY TODAY LLC,98 INDUSTRIAL CT,,Freehold Twp,NJ,7728,Monmouth County,40.2294646,-74.23134370000001,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
CERTIFIED ENVIRONMENTAL CONTRACTORS LLC,918 RT 33,,Freehold,NJ,7728,Monmouth County,40.2373802,-74.2278836,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
RICCIO INC,309 JACKSON MILLS RD,,Freehold,NJ,7728,Monmouth County,40.183328,-74.2849931,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
CUSTOM POOL PROS LLC,953 RT 33,,Freehold Boro,NJ,7728,Monmouth County,40.2348942,-74.22176069999999,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
HIGGINS GROUNDS MAINTENANCE LLC,812 RT 33,,Freehold,NJ,7728,Monmouth County,40.2332407,-74.2194462,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
FRATELLO DISPOSAL LLC,61 DUTCH LANE RD,,Marlboro,NJ,7746,Monmouth County,40.2969931,-74.2420451,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
REMOVE IT NJ LLC,276 FAIRFIELD RD,,Freehold Twp,NJ,7728,Monmouth County,40.2140236,-74.2188479,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
TAKE IT AWAY TODAY LLC,BAIRD RD,,Millstone Twp,NJ,8535,Monmouth County,40.2402302,-74.4138278,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
SCHIPANI DISPOSAL SERVICE LLC,707 W FARMS RD,,Howell,NJ,7731,Monmouth County,40.1862436,-74.2414445,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
JUNK COLLECTORS LLC,14 ALBERTA DR,,Marlboro,NJ,7746,Monmouth County,40.3286595,-74.28060669999999,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
THREE BROTHERS DEMOLITION & DEBRIS REMOVL LLC,27 N MAIN ST,,Marlboro,NJ,7746,Monmouth County,40.3170595,-74.247342,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
RUN FOR THE ROSES LLC,790 FARMINGDALE RD,,Jackson Twp,NJ,8527,Ocean County,40.1639844,-74.2870014,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
CJ NESTI CONSTRUCTION LLC,32 MONROE BLVD,,Monroe Twp,NJ,7726,Middlesex County,40.303622,-74.395438,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
JERSEY SPECIALIZED HAULING INC.,391 MOUNTS MILLS ROAD,,Monroe Twp,NJ,8831,Middlesex County,40.32725,-74.358913,,,,Hazardous Waste Transporter,Yes,Open Market
JERSEY SPECIALIZED HAULING INC,391 MOUNTS MILLS RD,,Monroe Twp,NJ,8831,Middlesex County,40.32725,-74.358913,,,,Non-hazardous / Solid Waste Transporter,Yes,Open Market
ABSOLUTE CLEAN UP LLC,7 SARAH LN,,Monroe Twp,NJ,8831,Middlesex County,40.326549,-74.36316889999999,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
TG DEMO AND CARTING LLC,240 BOUNDARY RD,,Marlboro,NJ,7746,Monmouth County,40.3071537,-74.2231992,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
BOX TRUCK BUDDY LLC,62 PRODELIN WAY,,Millstone Twp,NJ,8535,Monmouth County,40.2466517,-74.43773159999999,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
ATLANTIC SEPTIC & SEWER INC,634 HERMAN RD,,Jackson Twp,NJ,8527,Ocean County,40.1497669,-74.3340281,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
P&W SERVICES LLC,440 HOFFMAN STATION RD,,Monroe Twp,NJ,8831,Middlesex County,40.3210447,-74.4009698,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
SLAMMIN CANZ INC,424 HOFFMAN STATION,,Monroe Twp,NJ,8831,Middlesex County,40.3184861,-74.4046305,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
DISPOSAL SYSTEMS INC,MILLSTONE RD,,Clarksburg,NJ,8510,Monmouth County,40.1987411,-74.4281805,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
BLUEROCK SERVICES LLC,1120 CAMPUS DR W,,Marlboro Twp,NJ,7751,Monmouth County,40.3527272,-74.28992699999999,,,,Non-hazardous / Solid Waste Transporter,No,Open Market
